customer_id,customer_name,account_type,customer_tier,risk_score,complaint_history,kyc_status,years_with_bank
100228,Charles Badal,NRI,Gold,0.16,5,Verified,12
103957,Eesha Bala,NRI,Platinum,0.41,0,Verified,11
103771,Mahika Venkatesh,NRI,Gold,0.9,6,Verified,2
109989,Avni Mital,Salary,Wealth,0.07,10,Expired,13
104220,Dhriti Munshi,NRI,Silver,0.1,2,Verified,6
107827,Nikita Menon,NRI,Platinum,0.1,8,Pending,3
109572,Nidra Mohanty,Current,Silver,0.51,3,Expired,22
102751,Vasatika Bajaj,Salary,Platinum,0.45,3,Pending,20
103701,Rehaan Sen,Salary,Wealth,0.07,8,Verified,21
106644,Orinder Prasad,Salary,Regular,0.07,1,Expired,13
109150,Irya Badami,NRI,Wealth,0.24,3,Expired,13
105299,Pahal Badami,NRI,Wealth,0.69,7,Expired,17
100201,Udarsh Doctor,Current,Gold,0.71,9,Expired,3
105122,Chaitanya Munshi,Current,Regular,0.58,3,Verified,15
104710,Zilmil Sane,Current,Regular,0.84,9,Pending,2
103294,Robert Karpe,NRI,Silver,0.83,2,Pending,12
109360,Ekantika Chanda,Savings,Regular,0.03,7,Pending,7
102196,Ranveer Sampath,NRI,Platinum,0.47,6,Expired,15
101636,Zarna Naik,Salary,Gold,0.24,3,Expired,20
108766,Qasim Natt,Salary,Gold,0.75,0,Verified,7
104993,Rachana Sachar,NRI,Silver,0.87,7,Expired,22
103528,Widisha Taneja,Savings,Regular,0.02,9,Expired,6
103748,Joshua Nath,Savings,Platinum,0.25,10,Verified,3
101527,Harinakshi Raju,Current,Regular,0.31,9,Verified,5
109162,Kai Bath,Current,Regular,0.99,7,Verified,21
107165,Jatin Mukherjee,NRI,Wealth,0.95,8,Pending,9
105095,Oviya Peri,Savings,Wealth,0.37,3,Verified,14
108434,Ranbir Randhawa,NRI,Gold,0.69,0,Expired,4
101526,Sneha Deep,NRI,Regular,0.01,8,Verified,19
107597,Saumya Rastogi,Salary,Wealth,0.26,7,Expired,13
103039,Harita Basak,Salary,Silver,0.12,6,Verified,13
104919,Joshua Borde,Salary,Platinum,0.8,4,Pending,11
101507,Wahab Deep,Salary,Platinum,0.7,5,Expired,8
103869,Xiti Singhal,Current,Wealth,0.39,4,Pending,1
100522,Hemangini Dixit,Salary,Gold,0.25,7,Expired,7
100349,Jagat Manda,Savings,Regular,0.16,9,Verified,25
106726,Brinda Purohit,Savings,Silver,0.75,0,Pending,24
